tag_name,published_at,name,body
1.90.2,2024-06-19T16:32:31Z,May 2024 Recovery 2,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22May+2024+Recovery+2%22+is%3Aclosed).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_90) on [code.visualstudio.com](https://code.visualstudio.com/)."
1.90.1,2024-06-13T17:27:10Z,May 2024 Recovery 1,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22May+2024+Recovery+1%22+is%3Aclosed).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_90) on [code.visualstudio.com](https://code.visualstudio.com/)."
1.90.0,2024-06-05T21:14:57Z,May 2024,"Welcome to the May 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

* [Editor tabs multi-select](https://code.visualstudio.com/updates/v1_90#editor-tabs-multi-select) - Select and perform actions on multiple tabs simultaneously.
* [Profiles](https://code.visualstudio.com/updates/v1_90#configure-custom-profile-for-new-window) - Open new windows with your preferred profile.
* [Editor actions](https://code.visualstudio.com/updates/v1_90#always-show-editor-actions) - Immediately access editor actions across editor groups.
* [Copilot extensibility](https://code.visualstudio.com/updates/v1_90#chat-and-language-model-api) - Build AI into your extensions with the Chat and Language Model API.
* [VS Code Speech](https://code.visualstudio.com/updates/v1_90#vs-code-speech) - Automatically read out Copilot Chat responses with text-to-speech.
* [Find in notebooks](https://code.visualstudio.com/updates/v1_90#find-in-cell-selection) - Restrict search to selected cells in notebooks.
* [Chat context](https://code.visualstudio.com/updates/v1_90#attach-context-to-chat) - Quickly attach different types of context in chat.
* [IntelliSense in chat responses](https://code.visualstudio.com/updates/v1_90#intellisense-in-chat-code-blocks) - Better understand generated code with IntelliSense.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).
**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available."
1.89.1,2024-05-09T17:30:52Z,April 2024 Recovery 1,"The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22April+2024+Recovery+1%22+is%3Aclosed+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_89) on [code.visualstudio.com](https://code.visualstudio.com)."
1.89.0,2024-05-02T17:48:57Z,April 2024,"Welcome to the April 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

* [Preview Markdown images & videos](https://code.visualstudio.com/updates/v1_89#_hover-to-preview-images-and-videos-in-markdown) - Hover over a link to preview images & videos in Markdown.
* [Enhanced branch switching](https://code.visualstudio.com/updates/v1_89#_saverestore-open-editors-when-switching-branches) - Restore open editors seamlessly when switching between branches.
* [Middle-click paste support](https://code.visualstudio.com/updates/v1_89#_configure-middle-click-to-paste) - Paste text quickly in the terminal using a mouse middle-click.
* [WSL over Remote - SSH](https://code.visualstudio.com/updates/v1_89#_remote-development) - Use WSL when connected to a remote machine via Remote - SSH.
* [Accessible View](https://code.visualstudio.com/updates/v1_89#_accessible-view) - Navigate through comments, chat code blocks & terminal commands from the Accessible View.
* [Keyboard shortcuts for UI actions](https://code.visualstudio.com/updates/v1_89#_customize-keybindings) - Customize keybindings for UI actions directly with a right-click.
* [Quick Search](https://code.visualstudio.com/updates/v1_89#_quick-search) - Search for text across your workspace with Quick Search.
* [AI-powered rename suggestions](https://code.visualstudio.com/updates/v1_89#_copilot-powered-rename-suggestions-button) - Get intelligent rename suggestions in the editor with Copilot.
* [Copilot content exclusion](https://code.visualstudio.com/updates/v1_89#_content-exclusions) - Exclude files from being used in the Copilot context.
* [Local workspace extension](https://code.visualstudio.com/updates/v1_89#_local-workspace-extensions) - Include and install extensions directly in your workspace.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).
**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available."
1.88.1,2024-04-11T17:09:23Z,March 2024 Recovery 1,"The update addresses these [issues](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22March+2024+Recovery+1%22+is%3Aclosed).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_88) on [code.visualstudio.com](https://code.visualstudio.com)."
1.88.0,2024-04-04T17:04:20Z,March 2024,"Welcome to the March 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

* [Apply custom editor labels](https://code.visualstudio.com/updates/v1_88#custom-labels-for-open-editors) - Distinguish between editors with same file names.
* [Locked scrolling](https://code.visualstudio.com/updates/v1_88#locked-scrolling) - Compare editors side-by-side with synchronized scrolling.
* [Extension update improvements](https://code.visualstudio.com/updates/v1_88#extensions-update-improvements) - Restart extensions without reload & update extensions with VS Code releases.
* [Test Coverage API](https://code.visualstudio.com/updates/v1_88#test-coverage) - Native code coverage support in VS Code.
* [Folding markers in minimap](https://code.visualstudio.com/updates/v1_88#minimap-section-headers) - Easily identify and navigate to code sections from minimap.
* [Quick Search improvements](https://code.visualstudio.com/updates/v1_88#quick-search-improvements) - Sticky file path separators and separator buttons.
* [Notebook Run cells in section](https://code.visualstudio.com/updates/v1_88#run-cells-in-section) - Quickly run all cells in a notebook section.
* [Copilot improvements](https://code.visualstudio.com/updates/v1_88#github-copilot) - Improved inline chat UI, commit messages, and used references.
* [Python auto-detect improvements](https://code.visualstudio.com/updates/v1_88#python) - Detect startup files for Flask & Django, discover Hatch environments.
* [Preview: Terminal inline chat](https://code.visualstudio.com/updates/v1_88#preview-terminal-inline-chat) - Start a Copilot inline chat conversation directly from the terminal.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).
**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available."
1.87.2,2024-03-12T17:50:43Z,February 2024 Recovery 2,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+is%3Aclosed+milestone%3A%22February+2024+Recovery+2%22+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_87) on [code.visualstudio.com](https://code.visualstudio.com)."
1.87.1,2024-03-07T18:28:15Z,February 2024 Recovery 1,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+is%3Aclosed+milestone%3A%22February+2024+Recovery+1%22+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_87) on [code.visualstudio.com](https://code.visualstudio.com)."
1.87.0,2024-02-28T18:32:24Z,February 2024,"Welcome to the February 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

- **[Voice dictation in editor](https://code.visualstudio.com/updates/v1_87#_use-dictation-in-the-editor)** - Use your voice to dictate directly in the editor.
- **[Multi-cursor inline suggestions](https://code.visualstudio.com/updates/v1_87#_inline-completions-for-multiple-cursors)** - Review and accept inline suggestions for multiple cursors.
- **[Copilot-powered rename suggestions](https://code.visualstudio.com/updates/v1_87#_rename-suggestions)** - Get rename suggestions for symbols from Copilot.
- **[Side-by-side preview refactoring](https://code.visualstudio.com/updates/v1_87#_refactor-preview-in-multi-diff-editor)** - Preview refactorings across files with multi diff editor.
- **[Smarter Python imports](https://code.visualstudio.com/updates/v1_87#_improvements-for-adding-missing-imports)** - Improvements for adding missing Python imports.
- **[Sticky scroll in editor](https://code.visualstudio.com/updates/v1_87#_editor-sticky-scroll)** - Sticky scroll is enabled by default in the editor.
- **[Multi-language support for speech](https://code.visualstudio.com/updates/v1_87#_multiple-languages-supported-for-speech-recognition)** - Multiple languages supported for speech recognition.
- **[Copilot suggestions for dev containers](https://code.visualstudio.com/updates/v1_87#_remote-development)** - Get template and feature suggestions for dev container configurations.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).
**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available."
1.86.2,2024-02-15T13:50:04Z,January 2024 Recovery 2,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+is%3Aclosed+milestone%3A%22December+%2F+January+2024+Recovery+2%22+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_86) on [code.visualstudio.com](https://code.visualstudio.com)."
1.86.1,2024-02-08T13:42:40Z,January 2024 Recovery 1,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+is%3Aclosed+milestone%3A%22December+%2F+January+2024+Recovery+1%22).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_86) on [code.visualstudio.com](https://code.visualstudio.com)."
1.86.0,2024-02-01T13:22:53Z,January 2024,"Welcome to the January 2024 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

* **[Per-window zoom levels](https://github.com/microsoft/vscode-docs/blob/main/release-notes/v1_86.md#configure-zoom-levels-per-window)** - Adjust the zoom level for each window independently.
* **[Hey Code voice command](https://github.com/microsoft/vscode-docs/blob/main/release-notes/v1_86.md#accessibility)** - Start a chat session with a voice command.
* **[Multi-file diff editor](https://github.com/microsoft/vscode-docs/blob/main/release-notes/v1_86.md#review-multiple-files-in-diff-editor)** - Quickly review diffs across multiple files in the diff editor.
* **[Triggered breakpoints](https://github.com/microsoft/vscode-docs/blob/main/release-notes/v1_86.md#triggered-breakpoints)** - Efficient debugging with breakpoint dependencies.
* **[Expanded Sticky Scroll support](https://github.com/microsoft/vscode-docs/blob/main/release-notes/v1_86.md#sticky-scroll-in-tree-views)** - Sticky Scroll in tree views and notebooks.
* **[Markdown paste options](https://github.com/microsoft/vscode-docs/blob/main/release-notes/v1_86.md#languages)** - Rich paste support for links, video, and audio elements.
* **[Flexible Auto Save options](https://github.com/microsoft/vscode-docs/blob/main/release-notes/v1_86.md#more-powerful-and-flexible-auto-save-options)** - Skip Auto Save on errors or save only for specific file types.
* **[Source Control input](https://github.com/microsoft/vscode-docs/blob/main/release-notes/v1_86.md#source-control)** - Customize commit input and per-language editor settings.
* **[Extension notifications](https://github.com/microsoft/vscode-docs/blob/main/release-notes/v1_86.md#allow-disabling-notifications-per-extension)** - Fine-grained control for disabling notifications per extension.
* **[GitHub Copilot updates](https://github.com/microsoft/vscode-docs/blob/main/release-notes/v1_86.md#github-copilot)** - Improved default context, add file as context, AI fixes.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com/).

**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available."
1.85.2,2024-01-18T18:11:02Z,November 2023 Recovery 2,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22November+2023+Recovery+2%22+is%3Aclosed+).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_85) on [code.visualstudio.com](https://code.visualstudio.com/)."
1.85.1,2023-12-13T18:05:32Z,November 2023 Recovery 1,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22November+2023+Recovery+1%22+is%3Aclosed).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_85) on [code.visualstudio.com](https://code.visualstudio.com/)."
1.85.0,2023-12-07T19:05:49Z,November 2023,"Welcome to the November 2023 release of Visual Studio Code. There are many updates in this version that we hope you'll like, some of the key highlights include:

* **[Floating editor windows](https://code.visualstudio.com/updates/v1_85#_floating-editor-windows)** - Drag and drop editors onto your desktop.
* **[Accessible View workflow](https://code.visualstudio.com/updates/v1_85#_accessibility)** - Smoother transitions to and from the Accessible View.
* **[Finer extension update control](https://code.visualstudio.com/updates/v1_85#_extension-auto-update-control)** - Choose which extensions to auto update.
* **[Source Control incoming and outgoing view](https://code.visualstudio.com/updates/v1_85#_source-control)** - Easily review pending repository changes.
* **[JavaScript heap snapshots](https://code.visualstudio.com/updates/v1_85#_javascript-debugger)** - Visualize heap snapshots including memory object graphs.
* **[TypeScript Go to Definition from inlay hints](https://code.visualstudio.com/updates/v1_85#_jump-to-definition-for-inlay-hints)** - Jump to definition from inlay hint hovers.
* **[Python type hierarchy display](https://code.visualstudio.com/updates/v1_85#_python)** - Quickly review and navigate complex type relationships.
* **[GitHub Copilot updates](https://code.visualstudio.com/updates/v1_85#_github-copilot)** - Inline chat improvements, Rust code explanation.
* **[Preview: expanded Sticky Scroll support](https://code.visualstudio.com/updates/v1_85#_preview-features)** - Sticky Scroll in tree views and the terminal.

>If you'd like to read these release notes online, go to [Updates](https://code.visualstudio.com/updates) on [code.visualstudio.com](https://code.visualstudio.com).

**Insiders:** Want to try new features as soon as possible? You can download the nightly [Insiders](https://code.visualstudio.com/insiders) build and try the latest updates as soon as they are available."
1.84.2,2024-01-03T19:27:54Z,October 2023 Recovery 2,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22October+2023+Recovery+2%22+is%3Aclosed).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_84) on [code.visualstudio.com](https://code.visualstudio.com/)."
1.84.1,2023-11-06T18:18:20Z,October 2023 Recovery 1,"The update addresses these [issues](https://github.com/microsoft/vscode/issues?q=is%3Aissue+milestone%3A%22October+2023+Recovery+1%22+is%3Aclosed).

For the complete release notes go to [Updates](https://code.visualstudio.com/updates/v1_84) on [code.visualstudio.com](https://code.visualstudio.com/)."
